Country name,Year,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness Change,5-Year Change
Chile,2024,45,6.361,6.449,6.273,1.537,1.577,0.711,0.779,0.093,0.085,1.579,0.0009999999999994458,0.13250011062621958
China,2024,68,5.921,6.023,5.819,1.445,1.307,0.789,0.764,0.079,0.154,1.382,-0.0519999999999996,0.7971000633239704
Colombia,2024,61,6.004,6.112,5.897,1.38,1.513,0.587,0.777,0.039,0.051,1.658,0.3089999999999993,-0.15940017318726074
Comoros,2024,139,3.754,3.919,3.59,0.835,0.501,0.428,0.26,0.117,0.164,1.45,0.18800000000000017,-0.5345999679565403
Congo,2024,100,5.03,5.205,4.855,1.023,0.796,0.336,0.626,0.082,0.126,2.04,-0.19099999999999984,-0.16439983367919986
Costa Rica,2024,6,7.274,7.361,7.187,1.492,1.6,0.68,0.948,0.067,0.118,2.369,0.31899999999999995,0.15260012054443006
Croatia,2024,72,5.87,5.963,5.777,1.644,1.673,0.669,0.478,0.022,0.065,1.319,-0.07200000000000006,0.3652998161315901
Cyprus,2024,67,5.942,6.058,5.827,1.72,1.348,0.84,0.612,0.108,0.041,1.273,-0.12599999999999945,-0.21699991989135992
Czechia,2024,20,6.775,6.854,6.696,1.692,1.716,0.658,0.916,0.118,0.084,1.591,-0.04699999999999971,-0.13590011596680007
Côte d’Ivoire,2024,98,5.102,5.238,4.967,1.038,0.76,0.206,0.661,0.1,0.162,2.176,0.02200000000000024,-0.13130020904540984
DR Congo,2024,141,3.469,3.608,3.331,0.544,0.929,0.278,0.6,0.151,0.061,0.906,0.17399999999999993,-0.7760000000000002
Denmark,2024,2,7.521,7.611,7.431,1.825,1.748,0.82,0.955,0.15,0.488,1.535,-0.06200000000000028,-0.12459984207152974
Dominican Republic,2024,76,5.846,5.988,5.705,1.457,1.5,0.615,0.866,0.063,0.186,1.16,0.022999999999999687,0.15680007553101039
Ecuador,2024,62,5.965,6.083,5.848,1.299,1.32,0.702,0.712,0.058,0.066,1.808,0.2400000000000002,0.03980001449584947
Egypt,2024,135,3.817,3.909,3.725,1.347,1.075,0.473,0.593,0.018,0.103,0.21,-0.1599999999999997,-0.3344000892639194
El Salvador,2024,37,6.492,6.619,6.365,1.222,1.228,0.559,0.955,0.054,0.264,2.211,0.022999999999999687,0.14370001983643022
Estonia,2024,39,6.417,6.497,6.337,1.65,1.716,0.642,0.902,0.128,0.378,1.001,-0.031000000000000583,0.39519995880127023
Ethiopia,2024,132,3.898,4.011,3.786,0.757,1.051,0.416,0.54,0.182,0.1,0.852,0.03699999999999992,-0.2882001419067399
Finland,2024,1,7.736,7.81,7.662,1.749,1.783,0.824,0.986,0.11,0.502,1.782,-0.004999999999999893,-0.07270008468628042
France,2024,33,6.593,6.668,6.517,1.733,1.535,0.832,0.743,0.099,0.264,1.386,-0.016000000000000014,-0.0707997627258301
Gabon,2024,97,5.12,5.256,4.985,1.386,1.224,0.387,0.651,0.042,0.086,1.343,0.014000000000000234,0.29070007324219027
Gambia,2024,117,4.423,4.53,4.315,0.778,0.958,0.348,0.611,0.255,0.045,1.428,-0.06200000000000028,-0.3275998611450204
Georgia,2024,91,5.4,5.496,5.304,1.444,1.275,0.482,0.844,0.0,0.172,1.182,0.21500000000000075,0.7274002075195307
Germany,2024,22,6.753,6.854,6.652,1.785,1.625,0.776,0.858,0.148,0.351,1.21,0.03399999999999981,-0.3227999420165997
Ghana,2024,125,4.34,4.444,4.235,1.053,1.01,0.438,0.771,0.139,0.025,0.904,0.051000000000000156,-0.8079997634887706
Greece,2024,81,5.776,5.875,5.677,1.608,1.438,0.725,0.396,0.003,0.063,1.543,-0.15800000000000036,0.26100013351439966
Guatemala,2024,44,6.362,6.503,6.222,1.249,1.33,0.376,0.882,0.075,0.085,2.365,0.07500000000000018,-0.036900032043459596
Guinea,2024,102,4.929,5.07,4.787,0.873,0.791,0.306,0.676,0.157,0.098,2.027,-0.09399999999999942,-0.02029981231688982
Haiti,2020,144,3.615,3.953,3.276,0.294,0.19847044348716492,0.227,0.257,0.463,0.139,2.06,-0.1057999229431199,-0.41299999999999937
Honduras,2024,63,5.964,6.108,5.821,1.036,1.187,0.436,0.862,0.134,0.079,2.229,-0.0039999999999995595,0.010800136566160745
Hong Kong SAR of China,2024,88,5.491,5.566,5.417,1.79,1.41,0.948,0.674,0.116,0.386,0.168,0.17499999999999982,-0.019399818420410497
Hungary,2024,69,5.915,6.02,5.809,1.638,1.742,0.587,0.681,0.099,0.057,1.111,-0.10200000000000031,-0.08540006637572972
Iceland,2024,3,7.515,7.606,7.425,1.799,1.84,0.873,0.971,0.201,0.173,1.659,-0.010000000000000675,0.010500087738039454
India,2024,118,4.389,4.457,4.32,1.149,0.86,0.316,0.914,0.141,0.12,0.889,0.33499999999999996,0.8157001152038603
Indonesia,2024,83,5.617,5.717,5.516,1.288,1.372,0.454,0.918,0.323,0.044,1.218,0.04900000000000038,0.3313998146057102
Iran,2024,99,5.093,5.193,4.994,1.33,1.367,0.609,0.456,0.202,0.122,1.007,0.16999999999999993,0.4206000022888201
Iraq,2024,101,4.976,5.085,4.866,1.261,1.275,0.589,0.503,0.1,0.069,1.178,-0.1900000000000004,0.19119994735718038
Ireland,2024,15,6.889,6.977,6.801,1.988,1.659,0.823,0.906,0.179,0.382,0.952,0.051000000000000156,-0.20469993209838933
Israel,2024,8,7.234,7.301,7.168,1.695,1.743,0.824,0.74,0.144,0.193,1.895,-0.1070000000000002,0.10539987945556994
Italy,2024,40,6.415,6.521,6.309,1.724,1.526,0.852,0.641,0.082,0.071,1.517,0.09100000000000019,0.027599849700930434
Jamaica,2024,73,5.87,6.178,5.563,1.182,1.545,0.504,0.869,0.075,0.019,1.676,0.02800000000000047,-0.019800071716310264
Japan,2024,55,6.147,6.23,6.063,1.678,1.55,0.921,0.746,0.014,0.2,1.038,0.08700000000000063,0.2761999816894498
Jordan,2024,128,4.31,4.426,4.193,1.158,1.202,0.573,0.7,0.051,0.164,0.461,0.12399999999999967,-0.3233999633789102
Kazakhstan,2024,43,6.378,6.462,6.294,1.586,1.688,0.504,0.878,0.111,0.118,1.492,0.1900000000000004,0.3201000480651901
Kenya,2024,115,4.51,4.636,4.384,0.994,1.047,0.448,0.649,0.22,0.073,1.079,0.040000000000000036,-0.07300018310546985
Kosovo,2024,29,6.659,6.761,6.557,1.281,1.454,0.896,0.893,0.201,0.087,1.847,0.09799999999999986,0.33379991912841955
Kuwait,2024,30,6.629,6.738,6.52,1.691,1.481,0.766,0.934,0.143,0.167,1.448,-0.32200000000000006,0.6079999999999997
Kyrgyzstan,2024,75,5.858,5.938,5.778,1.032,1.715,0.647,0.981,0.169,0.053,1.261,0.14399999999999924,0.3164999084472697
Lao PDR,2024,93,5.301,5.422,5.179,1.122,1.01,0.493,0.916,0.145,0.164,1.452,0.16199999999999992,0.4124001274108897
Latvia,2024,51,6.207,6.292,6.123,1.619,1.711,0.503,0.789,0.108,0.082,1.396,-0.027000000000000135,0.2570001907348596
Lebanon,2024,145,3.188,3.277,3.098,1.223,0.984,0.44,0.279,0.071,0.041,0.15,0.4810000000000003,-1.5835001106262196
Lesotho,2024,138,3.757,3.957,3.558,0.737,1.131,0.0,0.606,0.065,0.072,1.145,0.5710000000000002,-0.04499999999999993
